Timestamp,Subject,Raw Word,Refined Sentence,Confidence
2026-03-28 19:25:50,Subject-01,SAKIT,Subjek ingin mengatakan: 'SAKIT',82.13
2026-03-28 22:45:31,Subject-01,PIPIS,Subjek ingin mengatakan: 'PIPIS',77.42
